_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
246,210,889,ROSEDALE PARK,Park,"Ball Diamond, Outdoor Dry Pad, Outdoor Ping Pong/Table Tennis, Playground, Sports Field, Tennis Court, Washroom",20 Scholfield Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=210,"{""coordinates"": [[-79.3789306793129, 43.6827794633922]], ""type"": ""MultiPoint""}"
247,2096,1324,GLADHURST PARK,Park,None,2 Elhurst Crt,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2096,"{""coordinates"": [[-79.4913022539355, 43.6848460558872]], ""type"": ""MultiPoint""}"
248,2570,1485,ROSE VALLEY PARK,Park,None,70 Black Creek Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2570,"{""coordinates"": [[-79.5009750671499, 43.675915233987]], ""type"": ""MultiPoint""}"
249,434,352,EVERGREEN GARDENS PARK,Park,Playground,23 Evergreen Gdns,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=434,"{""coordinates"": [[-79.3725490018276, 43.69608274633]], ""type"": ""MultiPoint""}"
250,715,570,NORTH KEELESDALE PARK,Park,"Ball Diamond, Washroom",415 Black Creek Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=715,"{""coordinates"": [[-79.4824739306051, 43.6908245091908]], ""type"": ""MultiPoint""}"
251,3786,60782,HARRISON-DOVERCOURT PARKETTE,Park,Outdoor Ping Pong/Table Tennis,150 Harrison St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3786,"{""coordinates"": [[-79.4247425866559, 43.6504432517537]], ""type"": ""MultiPoint""}"
252,2548,891,ROSEMOUNT GARDENS PARKETTE,Park,Playground,255 Queenslea Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2548,"{""coordinates"": [[-79.527590313357, 43.7067738347365]], ""type"": ""MultiPoint""}"
253,2344,1377,KILDONAN PARK,Park,None,66 Norwood Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2344,"{""coordinates"": [[-79.303728205078, 43.6847564395481]], ""type"": ""MultiPoint""}"
254,2099,1173,AUSTIN TERRACE BOULEVARD LANDS,Park,None,3 Austin Ter,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2099,"{""coordinates"": [[-79.4109989497447, 43.6782419875496]], ""type"": ""MultiPoint""}"
255,18,1401,MACPHERSON AVENUE PARKETTE,Park,None,205 Macpherson Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=18,"{""coordinates"": [[-79.3985708415817, 43.6778239568988]], ""type"": ""MultiPoint""}"
256,2177,1209,BROADVIEW SUBWAY STATION PARKETTE,Park,None,775 Broadview Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2177,"{""coordinates"": [[-79.3584074468928, 43.677241751716]], ""type"": ""MultiPoint""}"
257,315,835,PRIMROSE AVENUE PARKETTE,Park,Playground,120 Primrose Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=315,"{""coordinates"": [[-79.4464392845604, 43.6714914651714]], ""type"": ""MultiPoint""}"
258,2651,1544,TOURAINE PARKETTE,Park,None,12 Touraine Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2651,"{""coordinates"": [[-79.4396739453423, 43.7339104933411]], ""type"": ""MultiPoint""}"
259,2660,1073,VEROBEACH PARKETTE,Park,Playground,135 Verobeach Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2660,"{""coordinates"": [[-79.5439504495549, 43.7350691931143]], ""type"": ""MultiPoint""}"
260,2433,610,LAURENTIDE PARK,Park,None,110 Laurentide Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2433,"{""coordinates"": [[-79.3368686448766, 43.7549935237973]], ""type"": ""MultiPoint""}"
261,2418,587,KIRKDENE PARK,Park,Playground,100 Kirkdene Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2418,"{""coordinates"": [[-79.138318914537, 43.795220926232]], ""type"": ""MultiPoint""}"
262,937,788,ORIOLE PARK - NORTH YORK,Park,"Ball Diamond, Playground, Tennis Court",2955 Don Mills Rd W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=937,"{""coordinates"": [[-79.3510068720322, 43.7814908874303]], ""type"": ""MultiPoint""}"
263,3772,71262,60 BROADWAY AVE PARK,Park,None,60 Broadway Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3772,"{""coordinates"": [[-79.3957695659249, 43.710394752491]], ""type"": ""MultiPoint""}"
264,834,180,CHARLES CACCIA PARK,Park,Playground,348 Nairn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=834,"{""coordinates"": [[-79.4540375505034, 43.6883367362778]], ""type"": ""MultiPoint""}"
265,1038,611,LAVERY TRAIL PARK,Park,None,40 Lavery Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1038,"{""coordinates"": [[-79.1632554181717, 43.7970615558501]], ""type"": ""MultiPoint""}"
266,188,190,CHATSWORTH RAVINE,Park,None,900 Duplex Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=188,"{""coordinates"": [[-79.4066756658513, 43.7206740900688]], ""type"": ""MultiPoint""}"
267,3499,36962,CORKTOWN COMMON,Park,"Playground, Sports Field, Washroom",155 Bayview Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3499,"{""coordinates"": [[-79.3524612223528, 43.654418402689]], ""type"": ""MultiPoint""}"
268,2438,1254,CUMMER PARKETTE,Park,None,6024 Leslie St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2438,"{""coordinates"": [[-79.3716391116023, 43.8014062384492]], ""type"": ""MultiPoint""}"
269,3536,24922,TORONTO ISLANDS - SNAKE ISLAND,Park,"Firepit, Picnic Site",9 Queens Quay W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3536,"{""coordinates"": [[-79.3641820380973, 43.6241391618803]], ""type"": ""MultiPoint""}"
270,3537,58885,BIRCHCLIFF WOODS,Park,None,3700 Danforth Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3537,"{""coordinates"": [[-79.2625970554978, 43.6979600939604]], ""type"": ""MultiPoint""}"
271,757,952,SILVERVIEW PARK,Park,"Ball Diamond, Playground",23 Silverview Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=757,"{""coordinates"": [[-79.4114524609276, 43.7851460598067]], ""type"": ""MultiPoint""}"
272,2606,968,SNOWHILL PARK,Park,"Ball Diamond, Playground",15 Snowhill Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2606,"{""coordinates"": [[-79.2631792351588, 43.7807374394861]], ""type"": ""MultiPoint""}"
273,738,872,RICHMOND PARK,Park,"Ball Diamond, Outdoor Fitness Equipment, Playground, Sports Field",75 Richmond Park Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=738,"{""coordinates"": [[-79.2634359196725, 43.8124782213045]], ""type"": ""MultiPoint""}"
274,2620,1522,STAINES PARKETTE,Park,None,230 Staines Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2620,"{""coordinates"": [[-79.222287349452, 43.8262709015871]], ""type"": ""MultiPoint""}"
275,2635,529,IRMA BURMAN GREENBELT PARK,Park,None,20 Tallpines Crt,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2635,"{""coordinates"": [[-79.1592850872713, 43.8026727691155]], ""type"": ""MultiPoint""}"
276,494,213,CLYDESDALE PARK,Park,"Ball Diamond, Outdoor Fitness Equipment, Playground, Tennis Court, Washroom",116 Clydesdale Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=494,"{""coordinates"": [[-79.3294248276078, 43.7832230867214]], ""type"": ""MultiPoint""}"
277,2266,1270,DORIS - NORTON PARK,Park,None,290 Doris Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2266,"{""coordinates"": [[-79.4125082146361, 43.7728396622132]], ""type"": ""MultiPoint""}"
278,341,633,LINUS PARK,Park,"Playground, Sports Field",125 Seneca Hill Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=341,"{""coordinates"": [[-79.3580375183937, 43.7886768109863]], ""type"": ""MultiPoint""}"
279,2143,91,BERRY ROAD PARK,Park,None,260 Berry Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2143,"{""coordinates"": [[-79.5014404996225, 43.6341189270698]], ""type"": ""MultiPoint""}"
280,595,150,CANMORE PARK,Park,"Ball Diamond, Sports Field",101 Canmore Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=595,"{""coordinates"": [[-79.1772788261465, 43.7930835243075]], ""type"": ""MultiPoint""}"
281,792,751,NEILSON PARK - SCARBOROUGH,Park,"Ball Diamond, Picnic Site, Playground, Skateboarding, Washroom",1555 Neilson Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=792,"{""coordinates"": [[-79.2241518463904, 43.8135424498568]], ""type"": ""MultiPoint""}"
282,2320,935,SENECA VILLAGE PARK,Park,None,1700 Finch Ave E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2320,"{""coordinates"": [[-79.351515193292, 43.7939247735758]], ""type"": ""MultiPoint""}"
283,2504,465,HARVEST MOON PARK,Park,Playground,70 Finch Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2504,"{""coordinates"": [[-79.2092471498902, 43.820982423122]], ""type"": ""MultiPoint""}"
284,1487,959,SISKEN TRAIL PARK,Park,Playground,157 Staines Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1487,"{""coordinates"": [[-79.2185468359212, 43.8238561402348]], ""type"": ""MultiPoint""}"
285,3739,71002,BALLYCONNOR PARK,Park,Playground,21 Ballyconnor Crt,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=3739,"{""coordinates"": [[-79.386286144525, 43.7999421455498]], ""type"": ""MultiPoint""}"
286,769,1068,UPWOOD GREENBELT,Park,Playground,44 Marshlynn Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=769,"{""coordinates"": [[-79.4993961135255, 43.7061220142856]], ""type"": ""MultiPoint""}"
287,2019,102,BIRCHCREST PARK,Park,Playground,89 Beverly Glen Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2019,"{""coordinates"": [[-79.3217911974963, 43.798649406494]], ""type"": ""MultiPoint""}"
288,739,118,BOB HUNTER PARK,Park,"Ball Diamond, Dog Off-Leash Area",205 Generation Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=739,"{""coordinates"": [[-79.1617142432747, 43.8004272308465]], ""type"": ""MultiPoint""}"
289,496,243,CRESTHAVEN PARK,Park,"Playground, Tennis Court",37 Cresthaven Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=496,"{""coordinates"": [[-79.3632595733539, 43.7989881435492]], ""type"": ""MultiPoint""}"
290,495,35,ANCONA PARK,Park,"Ball Diamond, Playground",15 Ancona St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=495,"{""coordinates"": [[-79.4382038139653, 43.7764426155268]], ""type"": ""MultiPoint""}"
291,1895,999,STARRY PARK,Park,Playground,505 Staines Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1895,"{""coordinates"": [[-79.227114938258, 43.834992858902]], ""type"": ""MultiPoint""}"
292,106,308,JAY MACPHERSON GREEN,Park,None,255 Avenue Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=106,"{""coordinates"": [[-79.3972574340624, 43.6773383600411]], ""type"": ""MultiPoint""}"
293,654,468,HAVENBROOK PARK,Park,"Ball Diamond, Playground, Tennis Court",15 Havenbrook Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=654,"{""coordinates"": [[-79.3566291501695, 43.7677120851192]], ""type"": ""MultiPoint""}"
294,721,745,MUIRLANDS PARK,Park,"Ball Diamond, Playground, Sports Field",40 Muirlands Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=721,"{""coordinates"": [[-79.2686963839904, 43.8228757918161]], ""type"": ""MultiPoint""}"
295,2409,1380,KING GEORGES - KEELE PARKETTE,Park,None, KING GEORGE'S DR,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2409,"{""coordinates"": [[-79.4753823399146, 43.6960597222336]], ""type"": ""MultiPoint""}"
296,2477,1062,TRUE DAVIDSON PARK,Park,None,160 Memorial Park Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2477,"{""coordinates"": [[-79.3302113871142, 43.6921154691148]], ""type"": ""MultiPoint""}"
297,911,897,GLEN ROUGE CAMPGROUND,Park,Washroom,7450 Kingston Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=911,"{""coordinates"": [[-79.1398482477112, 43.8051371823481]], ""type"": ""MultiPoint""}"
298,119,613,LAWRENCE PARK RAVINE,Park,"Tennis Court, Washroom",61 ALEXANDER MUIR RD,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=119,"{""coordinates"": [[-79.3986040929914, 43.7204947150046]], ""type"": ""MultiPoint""}"
299,514,311,EARLSCOURT PARK,Park,"Ball Diamond, Basketball Court, Dog Off-Leash Area, Outdoor Fitness Equipment, Outdoor Track, Pickleball Court, Picnic Site, Playground, Sports Field, Tennis Court, Washroom",1200 Lansdowne Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=514,"{""coordinates"": [[-79.4515037424062, 43.6736233946801]], ""type"": ""MultiPoint""}"
300,2333,1315,GARNIER PARK,Park,None,4 Garnier Crt,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2333,"{""coordinates"": [[-79.3941329046159, 43.8013249109258]], ""type"": ""MultiPoint""}"
301,2530,266,DEEKSHILL PARK,Park,None,2 Piperbrook Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2530,"{""coordinates"": [[-79.1817695601707, 43.7664349874926]], ""type"": ""MultiPoint""}"
302,2830,46682,BONSPIEL PARK,Park,Playground,50 Bonspiel Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2830,"{""coordinates"": [[-79.1979039889356, 43.7916154076116]], ""type"": ""MultiPoint""}"
303,1460,312,EAST DON PARKLAND,Park,None,1240 Sheppard Ave E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1460,"{""coordinates"": [[-79.3751505593801, 43.787180660395]], ""type"": ""MultiPoint""}"
304,625,886,RON WATSON PARK,Park,"Ball Diamond, Playground, Sports Field",140 Bonis Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=625,"{""coordinates"": [[-79.2960499786865, 43.7859917756285]], ""type"": ""MultiPoint""}"
305,587,262,DEAN PARK,Park,"Ball Diamond, Playground, Sports Field",80 Dean Park Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=587,"{""coordinates"": [[-79.1708445015416, 43.801229625076]], ""type"": ""MultiPoint""}"
306,2599,669,MALVERN WOODS,Park,Playground,7600 Sheppard Ave E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2599,"{""coordinates"": [[-79.203518053536, 43.8020888124355]], ""type"": ""MultiPoint""}"
307,2576,905,ROYAL ROUGE TOT LOT,Park,Playground,65 Royal Rouge Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2576,"{""coordinates"": [[-79.1466717071366, 43.8006661517343]], ""type"": ""MultiPoint""}"
308,741,918,SANDOWN PARK,Park,"Playground, Sports Field",50 Natal Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=741,"{""coordinates"": [[-79.253350742804, 43.7100020867203]], ""type"": ""MultiPoint""}"
309,2394,1412,JEANETTE PARK,Park,Playground,55 Jeanette St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2394,"{""coordinates"": [[-79.2468879338598, 43.7240906607217]], ""type"": ""MultiPoint""}"
310,57,39,ANNIVERSARY PARK,Park,None,410 Parliament St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=57,"{""coordinates"": [[-79.3674304896286, 43.6621037303964]], ""type"": ""MultiPoint""}"
311,622,554,JOHN TABOR PARK,Park,"Ball Diamond, Sports Field",240 John Tabor Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=622,"{""coordinates"": [[-79.2053712561929, 43.8058473571395]], ""type"": ""MultiPoint""}"
312,1868,693,MAXOME PARK,Park,Playground,67 Maxome Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1868,"{""coordinates"": [[-79.3993938301102, 43.7877405718398]], ""type"": ""MultiPoint""}"
313,2229,1258,DAN IANNUZZI PARK,Park,Playground,75 Delabo Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2229,"{""coordinates"": [[-79.5058591575821, 43.7660731619419]], ""type"": ""MultiPoint""}"
314,520,1189,BENJAMIN BOAKE GREENBELT,Park,None,133 Benjamin Boake Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=520,"{""coordinates"": [[-79.4963731468492, 43.743942986351]], ""type"": ""MultiPoint""}"
315,1898,194,CHESTER LE PARK,Park,"Playground, Sports Field",255 Chester Le Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1898,"{""coordinates"": [[-79.3313387833228, 43.7997502855521]], ""type"": ""MultiPoint""}"
316,1500,1868,MCCOWAN DISTRICT PARK,Park,"Pickleball Court, Playground, Sports Field, Washroom",150 McCowan Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1500,"{""coordinates"": [[-79.2370934326324, 43.7336751987932]], ""type"": ""MultiPoint""}"
317,2145,95,BETHUNE PARK,Park,"Basketball Court, Playground",75 Bethune Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2145,"{""coordinates"": [[-79.2098666858774, 43.7435687359414]], ""type"": ""MultiPoint""}"
318,747,907,RUDDINGTON PARK,Park,"Outdoor Fitness Equipment, Playground, Tennis Court",75 Ruddington Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=747,"{""coordinates"": [[-79.3892434200688, 43.7922885533047]], ""type"": ""MultiPoint""}"
319,304,1134,WINDERMERE AVENUE PARKETTE,Park,None,167 Windermere Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=304,"{""coordinates"": [[-79.4743914233161, 43.640941977524]], ""type"": ""MultiPoint""}"
320,2314,368,FERRAND DRIVE PARK,Park,Playground,251 Ferrand Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2314,"{""coordinates"": [[-79.3328202494585, 43.7198904875729]], ""type"": ""MultiPoint""}"
321,774,1099,WENDERLY PARK,Park,"Ball Diamond, Playground",89 Wenderly Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=774,"{""coordinates"": [[-79.4464759616503, 43.7116976610789]], ""type"": ""MultiPoint""}"
322,2116,247,CULLEN BRYANT PARK,Park,Playground,50 Barbara Cres,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2116,"{""coordinates"": [[-79.3281830206633, 43.7004845171173]], ""type"": ""MultiPoint""}"
323,973,1314,GARLAND PARK,Park,None,65 John Garland Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=973,"{""coordinates"": [[-79.5830341550627, 43.7321900785619]], ""type"": ""MultiPoint""}"
324,2095,1172,ASTERFIELD - PLUMROSE BLVD PARKETTE,Park,None,75 Asterfield Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2095,"{""coordinates"": [[-79.1747910364994, 43.7747084593978]], ""type"": ""MultiPoint""}"
325,69,914,S.A.D.R.A. PARK,Park,"Outdoor Dry Pad, Outdoor Fitness Equipment, Playground",455 Weston Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=69,"{""coordinates"": [[-79.4622098101068, 43.6756247658856]], ""type"": ""MultiPoint""}"
326,2132,1636,BEECHGROVE PARK,Park,Playground,182 Beechgrove Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2132,"{""coordinates"": [[-79.1607166398653, 43.7691671426268]], ""type"": ""MultiPoint""}"
327,2181,141,BURNETT PARK,Park,None,352 Burnett Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2181,"{""coordinates"": [[-79.432896531417, 43.7599468962657]], ""type"": ""MultiPoint""}"
328,544,1040,TIMBERBANK PARK,Park,"Playground, Sports Field",240 Timberbank Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=544,"{""coordinates"": [[-79.3084694924058, 43.793844937467]], ""type"": ""MultiPoint""}"
329,526,25,ALEXMUIR PARK,Park,"Playground, Sports Field",205 Alexmuir Blvd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=526,"{""coordinates"": [[-79.2829779694172, 43.8092861528775]], ""type"": ""MultiPoint""}"
330,2288,367,FERGY BROWN PARK,Park,"Cricket Pitch Field, Washroom",3700 Eglinton Ave W,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2288,"{""coordinates"": [[-79.4973018106942, 43.6867736154231]], ""type"": ""MultiPoint""}"
331,2495,755,NIGHTSTAR PARK,Park,Playground,18 Nightstar Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2495,"{""coordinates"": [[-79.2295361901141, 43.824203761991]], ""type"": ""MultiPoint""}"
332,2469,85,BENDALE PARK,Park,None,705 McCowan Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2469,"{""coordinates"": [[-79.244471951364, 43.7568964322214]], ""type"": ""MultiPoint""}"
333,2636,1023,TALWOOD PARK,Park,Playground,36 Talwood Dr,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2636,"{""coordinates"": [[-79.3556606283411, 43.7400608380583]], ""type"": ""MultiPoint""}"
334,2488,723,MISTY HILLS PARK,Park,None,57 Misty Hills Trl,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=2488,"{""coordinates"": [[-79.2158486585033, 43.8197203595949]], ""type"": ""MultiPoint""}"
335,1025,87,BENNINGTON HEIGHTS PARK,Park,"Ball Diamond, Pickleball Court, Playground, Tennis Court, Washroom",465 Heath St E,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1025,"{""coordinates"": [[-79.3695658692435, 43.6950046633792]], ""type"": ""MultiPoint""}"
336,609,324,EDGE PARK,Park,"Playground, Sports Field",15 Edge Park Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=609,"{""coordinates"": [[-79.298195811959, 43.7174828269775]], ""type"": ""MultiPoint""}"
337,573,1118,WHITE HAVEN PARK,Park,"Playground, Sports Field",63 Invergordon Ave,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=573,"{""coordinates"": [[-79.249763921773, 43.7864689499606]], ""type"": ""MultiPoint""}"
338,1900,819,PINETREE PARK,Park,None,55 Applemore Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=1900,"{""coordinates"": [[-79.2340376132575, 43.7992940462504]], ""type"": ""MultiPoint""}"
339,167,852,RAMSDEN PARK,Park,"Ball Diamond, Basketball Court, Dog Off-Leash Area, Outdoor Dry Pad, Outdoor Ping Pong/Table Tennis, Pickleball Court, Picnic Site, Playground, Tennis Court, Washroom",1020 Yonge St,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=167,"{""coordinates"": [[-79.3930150383113, 43.6764157216534]], ""type"": ""MultiPoint""}"
340,551,1292,ELLISON PARK,Park,None,50 Yeomans Rd,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=551,"{""coordinates"": [[-79.4422406039357, 43.7488387897477]], ""type"": ""MultiPoint""}"
